2.000000000000000000e+01,5.000000000000000000e-01,7.800627999999999729e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,7.299271000000000231e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,4.099470999999999671e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,2.599753999999999954e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,1.899875999999999995e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,1.599928999999999935e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,1.299928000000000021e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,1.199965000000000059e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,1.099960999999999994e-02,2.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e-01,1.099960999999999994e-02,2.000000000000000000e+00
